product_id,spec_name,spec_value
1,CPU,"AMD Ryzen™ 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng )"
1,RAM,"32GB (2x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
1,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
1,VGA,GeForce RTX™ 4060 8GB GDDR6 
1,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
1,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
1,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
1,Audio,Audio by B&O; Dual speakers; HP Audio Boost
1,Chuẩn LAN,10/100/1000 GbE LAN
1,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
1,Bluetooth,v5.3
1,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
1,Hệ điều hành,Windows 11 Home
1,Pin,4 Cell 70WHr
1,Trọng lượng,2.31 kg
1,Màu sắc,"Mica silver, dark chrome logo"
1,Kích thước,36.9 x 25.94 x 2.29~2.39 cm
2,CPU,Intel Core i7-13700H 2.4GHz up to 5.0GHz 24MB
2,RAM,"32GB (2x16GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
2,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
2,VGA,NVIDIA® GeForce RTX™ 3050 6GB GDDR6
2,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
2,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
2,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
2,Audio,Audio by B&O; Dual speakers; HP Audio Boost
2,Chuẩn LAN,10/100/1000 GbE LAN
2,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
2,Bluetooth,v5.3
2,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
2,Hệ điều hành,Windows 11 Home
2,Pin,4 Cell 70WHr
2,Trọng lượng,2.31 kg
2,Màu sắc,Performance Blue
2,Kích thước,36.9 x 25.94 x 2.29~2.39 cm
3,CPU,Intel Core i7-13700H 2.4GHz up to 5.0GHz 24MB
3,RAM,"32GB (2x16GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
3,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
3,VGA,NVIDIA® GeForce RTX™ 4050 6GB GDDR6
3,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
3,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
3,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
3,Audio,Audio by B&O; Dual speakers; HP Audio Boost
3,Chuẩn LAN,10/100/1000 GbE LAN
3,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
3,Bluetooth,v5.3
3,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
3,Hệ điều hành,Windows 11 Home
3,Pin,4 Cell 70WHr
3,Trọng lượng,2.31 kg
3,Màu sắc,"Mica silver, dark chrome logo"
3,Kích thước,36.9 x 25.94 x 2.29~2.39 cm
4,CPU,Intel Core i7-13700H 2.4GHz up to 5.0GHz 24MB
4,RAM,"16GB (2x8GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
4,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
