id,product_name,price,discounted_price,discount_percent,thumb_image
1,Laptop HP OMEN 14-fb0135TX AY8V1PA,59990000.0,62990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_7d8f8cd3ab7b4ba7a45efecf1cac8c0c.png
2,Laptop Lenovo Yoga Slim 7 15ILL9 83HM000GVN,41990000.0,42990000.0,-2.0,https://product.hstatic.net/200000722513/product/khung-laptop-23_d5b6c84f834f4b3195b0bf8a4802aaa6.png
3,Laptop Acer Swift 14 AI SF14 51 75VP,38990000.0,39990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
4,Laptop Acer Swift 14 AI SF14 51 53P9,33990000.0,34990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
5,Laptop gaming MSI Crosshair 16 HX D14VFKG 860VN,39990000.0,41990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
6,Laptop Acer Swift X SFX16 51G 516Q,19990000.0,29990000.0,-33.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
7,Laptop Acer Swift Go SFG14 71 513F,16990000.0,24590000.0,-31.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
8,Laptop gaming Lenovo LOQ 15IRX9 83DV00UGVN,29490000.0,32990000.0,-11.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
9,Laptop gaming ASUS ROG Strix G16 G614JU N4450W,38990000.0,40990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
10,Laptop gaming ASUS ROG Strix G18 G814JIR N6108W,55990000.0,58990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
11,Laptop gaming ASUS ROG Strix SCAR 18 G834JYR R6199,109990000.0,114990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
12,Laptop gaming ASUS ROG Strix SCAR 18 G834JZR R6160,83990000.0,87990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
13,Laptop gaming ASUS ROG Strix G16 G614JIR N4193W,54990000.0,56990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
14,Laptop MSI Modern 15 F13MG 082VN,16490000.0,17490000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
15,Laptop gaming MSI Thin 15 B13UCX 2080VN,16990000.0,19990000.0,-15.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
16,Laptop MSI Prestige 14 AI Studio C1UDXG 058VN,29990000.0,30990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
17,Laptop MSI Prestige 14 AI Studio C1VEG 056VN,34990000.0,36990000.0,-5.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
18,Laptop Lenovo ThinkPad P14s Gen 5 21G2003PVA,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
19,Laptop Lenovo ThinkPad P14s Gen 5 21G2003NVA,47990000.0,48990000.0,-2.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
20,Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC009NVN,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
21,Laptop Lenovo ThinkPad X13 Gen 5 21LU004TVN,39990000.0,43990000.0,-9.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
22,Laptop Lenovo ThinkBook 14 G7 IML 21MR006YVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
23,Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/ava_e20cc402385247919a9556f0093a67a1.png
24,Laptop gaming Acer Nitro 5 AN515 46 R6QR,20990000.0,41690000.0,-50.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
25,Laptop gaming Acer Predator Helios Neo 16 PHN16 72 78DQ,44990000.0,46990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
26,Laptop gaming Acer Nitro V ANV15 51 76B9,30990000.0,32990000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_42a6cc7fc9f84a10a2905c27cf41f58d.png
