id,product_name,price,discounted_price,discount_percent,thumb_image
1,Laptop gaming ASUS ROG Zephyrus G16 GA605WI QR152WS,62990000.0,66990000.0,-6.0,https://product.hstatic.net/200000722513/product/thin-new_53b6dda3063c4b1fb550042f10500adc.png
2,Laptop MSI Modern 15 F13MG 082VN,16490000.0,17490000.0,-6.0,https://product.hstatic.net/200000722513/product/ava_e10fafc0165e4a2cb5380668574e512d.png
3,Laptop gaming MSI Thin 15 B13UCX 2080VN,16990000.0,19990000.0,-15.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
4,Laptop MSI Prestige 14 AI Studio C1VEG 056VN,34990000.0,36990000.0,-5.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
5,Laptop Lenovo ThinkPad P14s Gen 5 21G2003PVA,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
6,Laptop Lenovo ThinkPad P14s Gen 5 21G2003NVA,47990000.0,48990000.0,-2.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
7,Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC009NVN,48490000.0,49990000.0,-3.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
8,Laptop Lenovo ThinkPad X13 Gen 5 21LU004TVN,39990000.0,43990000.0,-9.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
9,Laptop Lenovo ThinkBook 14 G7 IML 21MR006YVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
10,Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN,21490000.0,23990000.0,-10.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
11,Laptop ASUS Zenbook S 14 OLED UX5406SA PV140WS,43990000.0,44990000.0,-2.0,https://product.hstatic.net/200000722513/product/1024__5__c1a76aeb9348493c8aefe42dddae273d.png
12,Laptop gaming Acer Nitro 5 AN515 46 R6QR,22990000.0,41690000.0,-45.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
13,Laptop gaming Acer Predator Helios Neo 16 PHN16 72 78DQ,44990000.0,46990000.0,-4.0,https://product.hstatic.net/200000722513/product/ava_f9ac49b0c6b7409185b80f1b7cce04ca.png
